id,domain,topic,question_type,difficulty,question,question_en,question_fr,question_ar,question_de,question_pt,question_es,languages
Q1297,history,World War II,creative,hard,Create a lesson plan that teaches World War II in an engaging way.,Create a lesson plan that teaches World War II in an engaging way.,Crée une activité d’apprentissage engageante autour de la Seconde Guerre mondiale.,أنشئ نشاطًا تعليميًا جذابًا حول الحرب العالمية الثانية.,Erstelle eine ansprechende Lernaktivität zu Zweiter Weltkrieg.,Crie uma atividade de aprendizagem envolvente sobre Segunda Guerra Mundial.,Crea una actividad de aprendizaje atractiva sobre Segunda Guerra Mundial.,"en,fr,ar,de,pt,es"
Q1298,history,civil rights movement,case_study,hard,What mistakes might happen in a case involving civil rights movement?,What mistakes might happen in a case involving civil rights movement?,Analyse une étude de cas où le mouvement des droits civiques a joué un rôle important.,حلّل دراسة حالة لعب فيها حركة الحقوق المدنية دورًا مهمًا.,"Analysiere eine Fallstudie, in der Bürgerrechtsbewegung eine wichtige Rolle gespielt hat.",Analise um estudo de caso em que movimento dos direitos civis teve um papel importante.,Analiza un caso en el que movimiento por los derechos civiles desempeñó un papel importante.,"en,fr,ar,de,pt,es"
Q1299,history,Roman Empire,prompt_ai,medium,What follow-up questions should an AI agent ask about Roman Empire?,What follow-up questions should an AI agent ask about Roman Empire?,Quel format de réponse un agent IA devrait-il utiliser pour une question sur l’Empire romain ?,ما تنسيق الإجابة الذي يجب أن يستخدمه وكيل ذكاء اصطناعي لسؤال حول الإمبراطورية الرومانية؟,Welches Antwortformat sollte ein KI-Agent für eine Frage über Römisches Reich verwenden?,Que formato de resposta um agente de IA deve usar para uma pergunta sobre Império Romano?,¿Qué formato de respuesta debería usar un agente de IA para una pregunta sobre Imperio romano?,"en,fr,ar,de,pt,es"
Q1300,history,modern globalization,evaluation,hard,How would you evaluate two different interpretations of modern globalization?,How would you evaluate two different interpretations of modern globalization?,Quelles preuves montreraient que la mondialisation moderne est utilisé correctement ?,ما الدليل الذي يوضح أن العولمة الحديثة يُستخدم بشكل صحيح؟,"Welche Belege würden zeigen, dass moderne Globalisierung richtig verwendet wird?",Que evidências mostrariam que globalização moderna está sendo usado corretamente?,¿Qué evidencia mostraría que globalización moderna se está usando correctamente?,"en,fr,ar,de,pt,es"
Q1301,history,civil rights movement,advantages_limitations,medium,How would you evaluate the usefulness and limits of civil rights movement?,How would you evaluate the usefulness and limits of civil rights movement?,Quels sont les avantages et les limites de le mouvement des droits civiques ?,ما مزايا وحدود حركة الحقوق المدنية؟,Welche Vorteile und Grenzen hat Bürgerrechtsbewegung?,Quais são as vantagens e limitações de movimento dos direitos civis?,¿Cuáles son las ventajas y limitaciones de movimiento por los derechos civiles?,"en,fr,ar,de,pt,es"
Q1302,history,trade routes,application,medium,How could trade routes be applied to solve a real problem?,How could trade routes be applied to solve a real problem?,Comment peut-on utiliser les routes commerciales de manière responsable dans le monde réel ?,كيف يمكن استخدام طرق التجارة بمسؤولية في العالم الحقيقي؟,Wie kann man Handelsrouten in der realen Welt verantwortungsvoll nutzen?,Como rotas comerciais pode ser usado de forma responsável no mundo real?,¿Cómo se puede usar rutas comerciales de manera responsable en el mundo real?,"en,fr,ar,de,pt,es"
Q1303,history,agricultural revolution,analysis_steps,medium,What questions should a researcher ask when analyzing agricultural revolution?,What questions should a researcher ask when analyzing agricultural revolution?,Quelles étapes suivrais-tu pour analyser la révolution agricole ?,ما الخطوات التي ستتبعها لتحليل الثورة الزراعية؟,"Welche Schritte würdest du befolgen, um Agrarrevolution zu analysieren?",Quais etapas você seguiria para analisar revolução agrícola?,¿Qué pasos seguirías para analizar revolución agrícola?,"en,fr,ar,de,pt,es"
Q1304,history,colonialism,practical_example,easy,What problem could be solved using colonialism?,What problem could be solved using colonialism?,Quel est un exemple pratique de le colonialisme ?,ما مثال عملي على الاستعمار؟,Was ist ein praktisches Beispiel für Kolonialismus?,Qual é um exemplo prático de colonialismo?,¿Cuál es un ejemplo práctico de colonialismo?,"en,fr,ar,de,pt,es"
Q1305,history,fall of empires,evaluation,hard,What makes an argument about fall of empires strong or weak?,What makes an argument about fall of empires strong or weak?,Quelles preuves montreraient que la chute des empires est utilisé correctement ?,ما الدليل الذي يوضح أن سقوط الإمبراطوريات يُستخدم بشكل صحيح؟,"Welche Belege würden zeigen, dass Fall von Reichen richtig verwendet wird?",Que evidências mostrariam que queda dos impérios está sendo usado corretamente?,¿Qué evidencia mostraría que caída de los imperios se está usando correctamente?,"en,fr,ar,de,pt,es"
Q1306,history,urbanization,beginner_explanation,easy,How would you explain urbanization to a 12-year-old learner?,How would you explain urbanization to a 12-year-old learner?,Comment expliquerais-tu l’urbanisation à un débutant qui étudie histoire ?,كيف تشرح التحضر لمبتدئ يدرس التاريخ؟,"Wie würdest du Urbanisierung einem Anfänger erklären, der Geschichte lernt?",Como você explicaria urbanização para um iniciante que estuda história?,¿Cómo explicarías urbanización a un principiante que estudia historia?,"en,fr,ar,de,pt,es"
Q1307,history,agricultural revolution,case_study,hard,How would you investigate a situation where agricultural revolution caused a problem?,How would you investigate a situation where agricultural revolution caused a problem?,Analyse une étude de cas où la révolution agricole a joué un rôle important.,حلّل دراسة حالة لعب فيها الثورة الزراعية دورًا مهمًا.,"Analysiere eine Fallstudie, in der Agrarrevolution eine wichtige Rolle gespielt hat.",Analise um estudo de caso em que revolução agrícola teve um papel importante.,Analiza un caso en el que revolución agrícola desempeñó un papel importante.,"en,fr,ar,de,pt,es"
Q1308,history,Industrial Revolution,practical_example,easy,What is a practical example of Industrial Revolution?,What is a practical example of Industrial Revolution?,Quel est un exemple pratique de la Révolution industrielle ?,ما مثال عملي على الثورة الصناعية؟,Was ist ein praktisches Beispiel für Industrielle Revolution?,Qual é um exemplo prático de Revolução Industrial?,¿Cuál es un ejemplo práctico de Revolución Industrial?,"en,fr,ar,de,pt,es"
Q1309,history,scientific revolution,creative,hard,Create three quiz questions that test understanding of scientific revolution.,Create three quiz questions that test understanding of scientific revolution.,Crée une activité d’apprentissage engageante autour de la révolution scientifique.,أنشئ نشاطًا تعليميًا جذابًا حول الثورة العلمية.,Erstelle eine ansprechende Lernaktivität zu wissenschaftliche Revolution.,Crie uma atividade de aprendizagem envolvente sobre revolução científica.,Crea una actividad de aprendizaje atractiva sobre revolución científica.,"en,fr,ar,de,pt,es"
Q1310,history,Age of Exploration,evaluation,hard,What criteria would you use to judge the quality of an explanation of Age of Exploration?,What criteria would you use to judge the quality of an explanation of Age of Exploration?,Quelles preuves montreraient que l’époque des grandes découvertes est utilisé correctement ?,ما الدليل الذي يوضح أن عصر الاستكشاف يُستخدم بشكل صحيح؟,"Welche Belege würden zeigen, dass Zeitalter der Entdeckungen richtig verwendet wird?",Que evidências mostrariam que Era das Explorações está sendo usado corretamente?,¿Qué evidencia mostraría que Era de los Descubrimientos se está usando correctamente?,"en,fr,ar,de,pt,es"
Q1311,history,trade routes,causes_principles,medium,What are the main causes or principles behind trade routes?,What are the main causes or principles behind trade routes?,Quelles sont les causes ou les principes principaux derrière les routes commerciales ?,ما الأسباب أو المبادئ الرئيسية وراء طرق التجارة؟,Was sind die wichtigsten Ursachen oder Prinzipien hinter Handelsrouten?,Quais são as principais causas ou princípios por trás de rotas comerciais?,¿Cuáles son las principales causas o principios detrás de rutas comerciales?,"en,fr,ar,de,pt,es"
Q1312,history,Roman Empire,practical_example,easy,What is a practical example of Roman Empire?,What is a practical example of Roman Empire?,Quel est un exemple pratique de l’Empire romain ?,ما مثال عملي على الإمبراطورية الرومانية؟,Was ist ein praktisches Beispiel für Römisches Reich?,Qual é um exemplo prático de Império Romano?,¿Cuál es un ejemplo práctico de Imperio romano?,"en,fr,ar,de,pt,es"
Q1313,history,urbanization,creative,hard,Design a debate topic related to urbanization.,Design a debate topic related to urbanization.,Crée une activité d’apprentissage engageante autour de l’urbanisation.,أنشئ نشاطًا تعليميًا جذابًا حول التحضر.,Erstelle eine ansprechende Lernaktivität zu Urbanisierung.,Crie uma atividade de aprendizagem envolvente sobre urbanização.,Crea una actividad de aprendizaje atractiva sobre urbanización.,"en,fr,ar,de,pt,es"
Q1314,history,Renaissance,definition,easy,What problem does Renaissance help people understand or solve?,What problem does Renaissance help people understand or solve?,Comment définirais-tu la Renaissance et pourquoi est-ce important en histoire ?,كيف تعرّف عصر النهضة، ولماذا يُعد مهمًا في مجال التاريخ؟,"Wie würdest du Renaissance definieren, und warum ist es in Geschichte wichtig?",Como você definiria Renascimento e por que isso é importante em história?,¿Cómo definirías Renacimiento y por qué es importante en historia?,"en,fr,ar,de,pt,es"
Q1315,history,fall of empires,case_study,hard,How would you investigate a situation where fall of empires caused a problem?,How would you investigate a situation where fall of empires caused a problem?,Analyse une étude de cas où la chute des empires a joué un rôle important.,حلّل دراسة حالة لعب فيها سقوط الإمبراطوريات دورًا مهمًا.,"Analysiere eine Fallstudie, in der Fall von Reichen eine wichtige Rolle gespielt hat.",Analise um estudo de caso em que queda dos impérios teve um papel importante.,Analiza un caso en el que caída de los imperios desempeñó un papel importante.,"en,fr,ar,de,pt,es"
Q1316,history,trade routes,case_study,hard,What mistakes might happen in a case involving trade routes?,What mistakes might happen in a case involving trade routes?,Analyse une étude de cas où les routes commerciales a joué un rôle important.,حلّل دراسة حالة لعب فيها طرق التجارة دورًا مهمًا.,"Analysiere eine Fallstudie, in der Handelsrouten eine wichtige Rolle gespielt hat.",Analise um estudo de caso em que rotas comerciais teve um papel importante.,Analiza un caso en el que rutas comerciales desempeñó un papel importante.,"en,fr,ar,de,pt,es"
Q1317,history,printing press,causes_principles,medium,What are the building blocks of printing press?,What are the building blocks of printing press?,Quelles sont les causes ou les principes principaux derrière l’imprimerie ?,ما الأسباب أو المبادئ الرئيسية وراء المطبعة؟,Was sind die wichtigsten Ursachen oder Prinzipien hinter Buchdruck?,Quais são as principais causas ou princípios por trás de imprensa?,¿Cuáles son las principales causas o principios detrás de imprenta?,"en,fr,ar,de,pt,es"
Q1318,history,urbanization,definition,easy,Why should a student of history study urbanization?,Why should a student of history study urbanization?,Comment définirais-tu l’urbanisation et pourquoi est-ce important en histoire ?,كيف تعرّف التحضر، ولماذا يُعد مهمًا في مجال التاريخ؟,"Wie würdest du Urbanisierung definieren, und warum ist es in Geschichte wichtig?",Como você definiria urbanização e por que isso é importante em história?,¿Cómo definirías urbanización y por qué es importante en historia?,"en,fr,ar,de,pt,es"
Q1319,history,Renaissance,causes_principles,medium,What are the building blocks of Renaissance?,What are the building blocks of Renaissance?,Quelles sont les causes ou les principes principaux derrière la Renaissance ?,ما الأسباب أو المبادئ الرئيسية وراء عصر النهضة؟,Was sind die wichtigsten Ursachen oder Prinzipien hinter Renaissance?,Quais são as principais causas ou princípios por trás de Renascimento?,¿Cuáles son las principales causas o principios detrás de Renacimiento?,"en,fr,ar,de,pt,es"
Q1320,history,printing press,practical_example,easy,How does printing press appear in everyday life?,How does printing press appear in everyday life?,Quel est un exemple pratique de l’imprimerie ?,ما مثال عملي على المطبعة؟,Was ist ein praktisches Beispiel für Buchdruck?,Qual é um exemplo prático de imprensa?,¿Cuál es un ejemplo práctico de imprenta?,"en,fr,ar,de,pt,es"
Q1321,history,Silk Road,beginner_explanation,easy,How would you explain Silk Road to a beginner studying history?,How would you explain Silk Road to a beginner studying history?,Comment expliquerais-tu la Route de la soie à un débutant qui étudie histoire ?,كيف تشرح طريق الحرير لمبتدئ يدرس التاريخ؟,"Wie würdest du Seidenstraße einem Anfänger erklären, der Geschichte lernt?",Como você explicaria Rota da Seda para um iniciante que estuda história?,¿Cómo explicarías Ruta de la Seda a un principiante que estudia historia?,"en,fr,ar,de,pt,es"
Q1322,history,printing press,definition,easy,What are the key ideas behind printing press?,What are the key ideas behind printing press?,Comment définirais-tu l’imprimerie et pourquoi est-ce important en histoire ?,كيف تعرّف المطبعة، ولماذا يُعد مهمًا في مجال التاريخ؟,"Wie würdest du Buchdruck definieren, und warum ist es in Geschichte wichtig?",Como você definiria imprensa e por que isso é importante em história?,¿Cómo definirías imprenta y por qué es importante en historia?,"en,fr,ar,de,pt,es"
Q1323,history,Roman Empire,causes_principles,medium,What conditions make Roman Empire possible or important?,What conditions make Roman Empire possible or important?,Quelles sont les causes ou les principes principaux derrière l’Empire romain ?,ما الأسباب أو المبادئ الرئيسية وراء الإمبراطورية الرومانية؟,Was sind die wichtigsten Ursachen oder Prinzipien hinter Römisches Reich?,Quais são as principais causas ou princípios por trás de Império Romano?,¿Cuáles son las principales causas o principios detrás de Imperio romano?,"en,fr,ar,de,pt,es"
Q1324,history,urbanization,definition,easy,What problem does urbanization help people understand or solve?,What problem does urbanization help people understand or solve?,Comment définirais-tu l’urbanisation et pourquoi est-ce important en histoire ?,كيف تعرّف التحضر، ولماذا يُعد مهمًا في مجال التاريخ؟,"Wie würdest du Urbanisierung definieren, und warum ist es in Geschichte wichtig?",Como você definiria urbanização e por que isso é importante em história?,¿Cómo definirías urbanización y por qué es importante en historia?,"en,fr,ar,de,pt,es"
Q1325,history,printing press,prompt_ai,medium,How can an AI agent check whether its response about printing press is complete?,How can an AI agent check whether its response about printing press is complete?,Quel format de réponse un agent IA devrait-il utiliser pour une question sur l’imprimerie ?,ما تنسيق الإجابة الذي يجب أن يستخدمه وكيل ذكاء اصطناعي لسؤال حول المطبعة؟,Welches Antwortformat sollte ein KI-Agent für eine Frage über Buchdruck verwenden?,Que formato de resposta um agente de IA deve usar para uma pergunta sobre imprensa?,¿Qué formato de respuesta debería usar un agente de IA para una pregunta sobre imprenta?,"en,fr,ar,de,pt,es"
Q1326,history,printing press,practical_example,easy,What problem could be solved using printing press?,What problem could be solved using printing press?,Quel est un exemple pratique de l’imprimerie ?,ما مثال عملي على المطبعة؟,Was ist ein praktisches Beispiel für Buchdruck?,Qual é um exemplo prático de imprensa?,¿Cuál es un ejemplo práctico de imprenta?,"en,fr,ar,de,pt,es"
Q1327,history,Roman Empire,advantages_limitations,medium,How would you evaluate the usefulness and limits of Roman Empire?,How would you evaluate the usefulness and limits of Roman Empire?,Quels sont les avantages et les limites de l’Empire romain ?,ما مزايا وحدود الإمبراطورية الرومانية؟,Welche Vorteile und Grenzen hat Römisches Reich?,Quais são as vantagens e limitações de Império Romano?,¿Cuáles son las ventajas y limitaciones de Imperio romano?,"en,fr,ar,de,pt,es"
Q1328,history,Renaissance,case_study,hard,What lessons can be learned from a real or imagined case involving Renaissance?,What lessons can be learned from a real or imagined case involving Renaissance?,Analyse une étude de cas où la Renaissance a joué un rôle important.,حلّل دراسة حالة لعب فيها عصر النهضة دورًا مهمًا.,"Analysiere eine Fallstudie, in der Renaissance eine wichtige Rolle gespielt hat.",Analise um estudo de caso em que Renascimento teve um papel importante.,Analiza un caso en el que Renacimiento desempeñó un papel importante.,"en,fr,ar,de,pt,es"
Q1329,history,fall of empires,compare,medium,What can we learn by comparing fall of empires and Roman Empire?,What can we learn by comparing fall of empires and Roman Empire?,Peux-tu comparer la chute des empires avec une autre idée de histoire ?,هل يمكنك مقارنة سقوط الإمبراطوريات بفكرة أخرى من مجال التاريخ؟,Kannst du Fall von Reichen mit einer anderen Idee aus Geschichte vergleichen?,Você pode comparar queda dos impérios com outra ideia de história?,¿Puedes comparar caída de los imperios con otra idea de historia?,"en,fr,ar,de,pt,es"
Q1330,history,trade routes,expert_importance,medium,How does trade routes help experts solve complex problems?,How does trade routes help experts solve complex problems?,Pourquoi les experts en histoire s’intéressent-ils à les routes commerciales ?,لماذا يهتم خبراء التاريخ بـ طرق التجارة؟,Warum interessieren sich Experten für Geschichte für Handelsrouten?,Por que especialistas em história se importam com rotas comerciais?,¿Por qué los expertos en historia se interesan por rutas comerciales?,"en,fr,ar,de,pt,es"
Q1331,history,printing press,analysis_steps,medium,How would you break down printing press into smaller parts for study?,How would you break down printing press into smaller parts for study?,Quelles étapes suivrais-tu pour analyser l’imprimerie ?,ما الخطوات التي ستتبعها لتحليل المطبعة؟,"Welche Schritte würdest du befolgen, um Buchdruck zu analysieren?",Quais etapas você seguiria para analisar imprensa?,¿Qué pasos seguirías para analizar imprenta?,"en,fr,ar,de,pt,es"
Q1332,history,trade routes,beginner_explanation,easy,What is the simplest way to introduce trade routes without using advanced vocabulary?,What is the simplest way to introduce trade routes without using advanced vocabulary?,Comment expliquerais-tu les routes commerciales à un débutant qui étudie histoire ?,كيف تشرح طرق التجارة لمبتدئ يدرس التاريخ؟,"Wie würdest du Handelsrouten einem Anfänger erklären, der Geschichte lernt?",Como você explicaria rotas comerciais para um iniciante que estuda história?,¿Cómo explicarías rutas comerciales a un principiante que estudia historia?,"en,fr,ar,de,pt,es"
Q1333,history,urbanization,beginner_explanation,easy,How would you explain urbanization to a beginner studying history?,How would you explain urbanization to a beginner studying history?,Comment expliquerais-tu l’urbanisation à un débutant qui étudie histoire ?,كيف تشرح التحضر لمبتدئ يدرس التاريخ؟,"Wie würdest du Urbanisierung einem Anfänger erklären, der Geschichte lernt?",Como você explicaria urbanização para um iniciante que estuda história?,¿Cómo explicarías urbanización a un principiante que estudia historia?,"en,fr,ar,de,pt,es"
Q1334,history,trade routes,application,medium,How can trade routes be used responsibly in the real world?,How can trade routes be used responsibly in the real world?,Comment peut-on utiliser les routes commerciales de manière responsable dans le monde réel ?,كيف يمكن استخدام طرق التجارة بمسؤولية في العالم الحقيقي؟,Wie kann man Handelsrouten in der realen Welt verantwortungsvoll nutzen?,Como rotas comerciais pode ser usado de forma responsável no mundo real?,¿Cómo se puede usar rutas comerciales de manera responsable en el mundo real?,"en,fr,ar,de,pt,es"
Q1335,philosophy,beauty,analysis_steps,medium,What steps would you follow to analyze beauty?,What steps would you follow to analyze beauty?,Quelles étapes suivrais-tu pour analyser la beauté ?,ما الخطوات التي ستتبعها لتحليل الجمال؟,"Welche Schritte würdest du befolgen, um Schönheit zu analysieren?",Quais etapas você seguiria para analisar beleza?,¿Qué pasos seguirías para analizar belleza?,"en,fr,ar,de,pt,es"
Q1336,philosophy,truth,advantages_limitations,medium,How would you evaluate the usefulness and limits of truth?,How would you evaluate the usefulness and limits of truth?,Quels sont les avantages et les limites de la vérité ?,ما مزايا وحدود الحقيقة؟,Welche Vorteile und Grenzen hat Wahrheit?,Quais são as vantagens e limitações de verdade?,¿Cuáles son las ventajas y limitaciones de verdad?,"en,fr,ar,de,pt,es"
Q1337,philosophy,personal identity,prompt_ai,medium,What follow-up questions should an AI agent ask about personal identity?,What follow-up questions should an AI agent ask about personal identity?,Quel format de réponse un agent IA devrait-il utiliser pour une question sur l’identité personnelle ?,ما تنسيق الإجابة الذي يجب أن يستخدمه وكيل ذكاء اصطناعي لسؤال حول الهوية الشخصية؟,Welches Antwortformat sollte ein KI-Agent für eine Frage über persönliche Identität verwenden?,Que formato de resposta um agente de IA deve usar para uma pergunta sobre identidade pessoal?,¿Qué formato de respuesta debería usar un agente de IA para una pregunta sobre identidad personal?,"en,fr,ar,de,pt,es"
Q1338,philosophy,happiness,definition,easy,What are the key ideas behind happiness?,What are the key ideas behind happiness?,Comment définirais-tu le bonheur et pourquoi est-ce important en philosophie ?,كيف تعرّف السعادة، ولماذا يُعد مهمًا في مجال الفلسفة؟,"Wie würdest du Glück definieren, und warum ist es in Philosophie wichtig?",Como você definiria felicidade e por que isso é importante em filosofia?,¿Cómo definirías felicidad y por qué es importante en filosofía?,"en,fr,ar,de,pt,es"
Q1339,philosophy,existence,history_change,medium,What historical turning points influenced existence?,What historical turning points influenced existence?,Comment l’existence a-t-il évolué au fil du temps ?,كيف تغيّر الوجود مع مرور الوقت؟,Wie hat sich Existenz im Laufe der Zeit verändert?,Como existência mudou ao longo do tempo?,¿Cómo ha cambiado existencia con el tiempo?,"en,fr,ar,de,pt,es"
Q1340,philosophy,virtue,advantages_limitations,medium,What are the advantages and limitations of virtue?,What are the advantages and limitations of virtue?,Quels sont les avantages et les limites de la vertu ?,ما مزايا وحدود الفضيلة؟,Welche Vorteile und Grenzen hat Tugend?,Quais são as vantagens e limitações de virtude?,¿Cuáles son las ventajas y limitaciones de virtud?,"en,fr,ar,de,pt,es"
Q1341,philosophy,mind-body problem,application,medium,How would you use mind-body problem in a practical case study?,How would you use mind-body problem in a practical case study?,Comment peut-on utiliser le problème corps-esprit de manière responsable dans le monde réel ?,كيف يمكن استخدام مشكلة العقل والجسد بمسؤولية في العالم الحقيقي؟,Wie kann man Leib-Seele-Problem in der realen Welt verantwortungsvoll nutzen?,Como problema mente-corpo pode ser usado de forma responsável no mundo real?,¿Cómo se puede usar problema mente-cuerpo de manera responsable en el mundo real?,"en,fr,ar,de,pt,es"
Q1342,philosophy,personal identity,beginner_explanation,easy,How could you teach personal identity using a simple story or analogy?,How could you teach personal identity using a simple story or analogy?,Comment expliquerais-tu l’identité personnelle à un débutant qui étudie philosophie ?,كيف تشرح الهوية الشخصية لمبتدئ يدرس الفلسفة؟,"Wie würdest du persönliche Identität einem Anfänger erklären, der Philosophie lernt?",Como você explicaria identidade pessoal para um iniciante que estuda filosofia?,¿Cómo explicarías identidad personal a un principiante que estudia filosofía?,"en,fr,ar,de,pt,es"
Q1343,philosophy,justice,analysis_steps,medium,What evidence or examples would you collect to understand justice deeply?,What evidence or examples would you collect to understand justice deeply?,Quelles étapes suivrais-tu pour analyser la justice ?,ما الخطوات التي ستتبعها لتحليل العدالة؟,"Welche Schritte würdest du befolgen, um Gerechtigkeit zu analysieren?",Quais etapas você seguiria para analisar justiça?,¿Qué pasos seguirías para analizar justicia?,"en,fr,ar,de,pt,es"
Q1344,philosophy,personal identity,misconceptions,medium,Why is the statement “personal identity is simple and obvious” often misleading?,Why is the statement “personal identity is simple and obvious” often misleading?,Quelles sont les idées fausses courantes sur l’identité personnelle ?,ما المفاهيم الخاطئة الشائعة حول الهوية الشخصية؟,Welche häufigen Missverständnisse gibt es über persönliche Identität?,Quais são os equívocos comuns sobre identidade pessoal?,¿Cuáles son los conceptos erróneos comunes sobre identidad personal?,"en,fr,ar,de,pt,es"
Q1345,philosophy,justice,beginner_explanation,easy,How would you explain justice to a 12-year-old learner?,How would you explain justice to a 12-year-old learner?,Comment expliquerais-tu la justice à un débutant qui étudie philosophie ?,كيف تشرح العدالة لمبتدئ يدرس الفلسفة؟,"Wie würdest du Gerechtigkeit einem Anfänger erklären, der Philosophie lernt?",Como você explicaria justiça para um iniciante que estuda filosofia?,¿Cómo explicarías justicia a un principiante que estudia filosofía?,"en,fr,ar,de,pt,es"
Q1346,philosophy,identity,evaluation,hard,What criteria would you use to judge the quality of an explanation of identity?,What criteria would you use to judge the quality of an explanation of identity?,Quelles preuves montreraient que l’identité est utilisé correctement ?,ما الدليل الذي يوضح أن الهوية يُستخدم بشكل صحيح؟,"Welche Belege würden zeigen, dass Identität richtig verwendet wird?",Que evidências mostrariam que identidade está sendo usado corretamente?,¿Qué evidencia mostraría que identidad se está usando correctamente?,"en,fr,ar,de,pt,es"
Q1347,philosophy,free will,why_how,medium,Why does free will matter in modern life?,Why does free will matter in modern life?,"Comment le libre arbitre influence-t-il les décisions, les systèmes ou les comportements ?",كيف يؤثر الإرادة الحرة في القرارات أو الأنظمة أو السلوك؟,"Wie beeinflusst freier Wille Entscheidungen, Systeme oder Verhalten?","Como livre-arbítrio influencia decisões, sistemas ou comportamentos?","¿Cómo influye libre albedrío en las decisiones, los sistemas o el comportamiento?","en,fr,ar,de,pt,es"
Q1348,philosophy,virtue,creative,hard,Design a debate topic related to virtue.,Design a debate topic related to virtue.,Crée une activité d’apprentissage engageante autour de la vertu.,أنشئ نشاطًا تعليميًا جذابًا حول الفضيلة.,Erstelle eine ansprechende Lernaktivität zu Tugend.,Crie uma atividade de aprendizagem envolvente sobre virtude.,Crea una actividad de aprendizaje atractiva sobre virtud.,"en,fr,ar,de,pt,es"
Q1349,philosophy,personal identity,beginner_explanation,easy,What is the simplest way to introduce personal identity without using advanced vocabulary?,What is the simplest way to introduce personal identity without using advanced vocabulary?,Comment expliquerais-tu l’identité personnelle à un débutant qui étudie philosophie ?,كيف تشرح الهوية الشخصية لمبتدئ يدرس الفلسفة؟,"Wie würdest du persönliche Identität einem Anfänger erklären, der Philosophie lernt?",Como você explicaria identidade pessoal para um iniciante que estuda filosofia?,¿Cómo explicarías identidad personal a un principiante que estudia filosofía?,"en,fr,ar,de,pt,es"
Q1350,philosophy,consciousness,why_how,medium,"How does consciousness influence decisions, systems, or behavior?","How does consciousness influence decisions, systems, or behavior?","Comment la conscience influence-t-il les décisions, les systèmes ou les comportements ?",كيف يؤثر الوعي في القرارات أو الأنظمة أو السلوك؟,"Wie beeinflusst Bewusstsein Entscheidungen, Systeme oder Verhalten?","Como consciência influencia decisões, sistemas ou comportamentos?","¿Cómo influye conciencia en las decisiones, los sistemas o el comportamiento?","en,fr,ar,de,pt,es"
Q1351,philosophy,ethics,analysis_steps,medium,What evidence or examples would you collect to understand ethics deeply?,What evidence or examples would you collect to understand ethics deeply?,Quelles étapes suivrais-tu pour analyser l’éthique ?,ما الخطوات التي ستتبعها لتحليل الأخلاق؟,"Welche Schritte würdest du befolgen, um Ethik zu analysieren?",Quais etapas você seguiria para analisar ética?,¿Qué pasos seguirías para analizar ética?,"en,fr,ar,de,pt,es"
Q1352,philosophy,political philosophy,compare,medium,How could an analogy between political philosophy and consciousness help a beginner understand both?,How could an analogy between political philosophy and consciousness help a beginner understand both?,Peux-tu comparer la philosophie politique avec une autre idée de philosophie ?,هل يمكنك مقارنة الفلسفة السياسية بفكرة أخرى من مجال الفلسفة؟,Kannst du politische Philosophie mit einer anderen Idee aus Philosophie vergleichen?,Você pode comparar filosofia política com outra ideia de filosofia?,¿Puedes comparar filosofía política con otra idea de filosofía?,"en,fr,ar,de,pt,es"
Q1353,philosophy,virtue,definition,easy,Why should a student of philosophy study virtue?,Why should a student of philosophy study virtue?,Comment définirais-tu la vertu et pourquoi est-ce important en philosophie ?,كيف تعرّف الفضيلة، ولماذا يُعد مهمًا في مجال الفلسفة؟,"Wie würdest du Tugend definieren, und warum ist es in Philosophie wichtig?",Como você definiria virtude e por que isso é importante em filosofia?,¿Cómo definirías virtud y por qué es importante en filosofía?,"en,fr,ar,de,pt,es"
Q1354,philosophy,political philosophy,beginner_explanation,easy,What is the simplest way to introduce political philosophy without using advanced vocabulary?,What is the simplest way to introduce political philosophy without using advanced vocabulary?,Comment expliquerais-tu la philosophie politique à un débutant qui étudie philosophie ?,كيف تشرح الفلسفة السياسية لمبتدئ يدرس الفلسفة؟,"Wie würdest du politische Philosophie einem Anfänger erklären, der Philosophie lernt?",Como você explicaria filosofia política para um iniciante que estuda filosofia?,¿Cómo explicarías filosofía política a un principiante que estudia filosofía?,"en,fr,ar,de,pt,es"
Q1355,philosophy,meaning,prompt_ai,medium,What answer format should an AI agent use for a question about meaning?,What answer format should an AI agent use for a question about meaning?,Quel format de réponse un agent IA devrait-il utiliser pour une question sur le sens ?,ما تنسيق الإجابة الذي يجب أن يستخدمه وكيل ذكاء اصطناعي لسؤال حول المعنى؟,Welches Antwortformat sollte ein KI-Agent für eine Frage über Bedeutung verwenden?,Que formato de resposta um agente de IA deve usar para uma pergunta sobre significado?,¿Qué formato de respuesta debería usar un agente de IA para una pregunta sobre significado?,"en,fr,ar,de,pt,es"
Q1356,philosophy,political philosophy,advantages_limitations,medium,"When is political philosophy helpful, and when can it be misleading?","When is political philosophy helpful, and when can it be misleading?",Quels sont les avantages et les limites de la philosophie politique ?,ما مزايا وحدود الفلسفة السياسية؟,Welche Vorteile und Grenzen hat politische Philosophie?,Quais são as vantagens e limitações de filosofia política?,¿Cuáles son las ventajas y limitaciones de filosofía política?,"en,fr,ar,de,pt,es"
